"Species","M.Mass","F.Mass","Egg.Mass","Cl.size","Mat.syst"
"Actophilornis_africanus","Actophilornis_africanus",143.2,260.7,8.6,4,"PA"
"Aphriza_virgata","Aphriza_virgata",186.3,216.3,22.4,4,"MO"
"Arenaria_interpres","Arenaria_interpres",108,113,17.9,3.5,"MO"
"Arenaria_melanocephala","Arenaria_melanocephala",113.6,124.2,17.3,4,"MO"
"Bartramia_longicauda","Bartramia_longicauda",151,164,23.5,3.99,"MO"
"Calidris_alba","Calidris_alba",52.8,55.4,11.2,3.9,"PA"
"Calidris_alpina","Calidris_alpina",41,45.1,10.7,3.9,"MO"
"Calidris_bairdii","Calidris_bairdii",39.3,39.7,9.6,4,"MO"
"Calidris_canutus","Calidris_canutus",126,148,19.3,3.7,"MO"
"Calidris_maritima","Calidris_maritima",67.6,76.3,13.3,3.9,"MO"
"Calidris_mauri","Calidris_mauri",28,31,7.5,3.9,"MO"
"Calidris_minuta","Calidris_minuta",24,27.1,6.3,3.8,"PA"
"Calidris_minutilla","Calidris_minutilla",20.3,22.2,6.4,3.9,"MO"
"Calidris_ptilocnemis","Calidris_ptilocnemis",76.3,83,14.2,4,"MO"
"Calidris_pusilla","Calidris_pusilla",25,27,6.9,4,"MO"
"Calidris_ruficollis","Calidris_ruficollis",25.7,26.6,8.3,4,"MO"
"Calidris_subminuta","Calidris_subminuta",29,32,7.5,4,"MO"
"Calidris_temminckii","Calidris_temminckii",24.3,27.8,5.8,4,"PA"
"Calidris_tenuirostris","Calidris_tenuirostris",156,174,22,4,"MO"
"Catoptrophorus_semipalmatus","Catoptrophorus_semipalmatus",273,301.4,39.5,4,"MO"
"Charadrius_dubius","Charadrius_dubius",38.3,39.2,7.7,3.9,"MO"
"Charadrius_hiaticula","Charadrius_hiaticula",63.5,64.7,10.9,3.8,"MO"
"Charadrius_melodus","Charadrius_melodus",54.9,55.6,9.4,3.3,"MO"
"Charadrius_montanus","Charadrius_montanus",102,114,16.5,3,"PA"
"Charadrius_vociferus","Charadrius_vociferus",92.1,101,14.5,4,"MO"
"Charadrius_wilsonia","Charadrius_wilsonia",59,63,12.4,3,"MO"
